nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:9090].  

  Press Ctrl+C to stop the server

  2026-08-13 09:46:07 /posts/019ffa7e-3cad-711a-8e34-1a91c576f202 .. ~ 2 giây
  2026-08-13 09:46:07 /presence/heartbeat .......................... ~ 3 giây
  2026-08-13 09:46:10 /build/assets/app-D6m_3w8G.js .............. ~ 501.09ms
  2026-08-13 09:46:10 /posts/019ffa7e-3cad-711a-8e34-1a91c576f202 .. ~ 0.03ms
  2026-08-13 09:46:10 /build/assets/app--WTW5DNB.css ............... ~ 0.05ms
  2026-08-13 09:46:10 /build/assets/app-D6m_3w8G.js ................ ~ 0.21ms
  2026-08-13 09:46:10 /build/assets/Show-CRTmyzDT.js ............... ~ 0.16ms
  2026-08-13 09:46:10 /build/assets/tabler-icons-vue-IynuKI1e.js ... ~ 0.42ms
  2026-08-13 09:46:10 /build/assets/button-BTTi7SDU.js ............. ~ 0.07ms
  2026-08-13 09:46:10 /build/assets/avatar-CaemH612.js ............. ~ 0.24ms
  2026-08-13 09:46:10 /build/assets/core-DqAwJdv3.js ............... ~ 0.40ms
  2026-08-13 09:46:10 /build/assets/createContext-DaDdvz1Q.js ...... ~ 0.56ms
  2026-08-13 09:46:10 /build/assets/PopperContent-BTNI29EK.js ...... ~ 0.49ms
  2026-08-13 09:46:10 /build/assets/AppLayout-bA2qkYf_.js .......... ~ 0.80ms
  2026-08-13 09:46:10 /build/assets/FocusScope-CYx6H_9V.js ......... ~ 0.59ms
  2026-08-13 09:46:10 /build/assets/utils-B8GuMAhl.js .............. ~ 0.53ms
  2026-08-13 09:46:10 /build/assets/separator-1RK1Bc3I.js .......... ~ 0.58ms
  2026-08-13 09:46:10 /build/assets/tooltip-Cz_94xSI.js ............ ~ 0.23ms
  2026-08-13 09:46:10 /build/assets/RovingFocusGroup-sLwXrav5.js ... ~ 0.40ms
  2026-08-13 09:46:10 /build/assets/useWorkspaceRole-CC4ybjcu.js ... ~ 0.50ms
  2026-08-13 09:46:10 /build/assets/input-C_efJ9f2.js .............. ~ 0.57ms
  2026-08-13 09:46:10 /build/assets/app-Ce40fLGO.js ................ ~ 0.71ms
  2026-08-13 09:46:10 /build/assets/bluesky-rpJ3PDxS.js ............ ~ 0.86ms
  2026-08-13 09:46:10 /build/assets/wayfinder-Bh70ToPC.js .......... ~ 0.98ms
  2026-08-13 09:46:10 /build/assets/facebook-DwZ9bqPA.js ........... ~ 1.10ms
  2026-08-13 09:46:10 /build/assets/instagram-facebook-bSSjVdPB.js . ~ 1.21ms
  2026-08-13 09:46:10 /build/assets/linkedin-CQtUfRGO.js ........... ~ 1.28ms
  2026-08-13 09:46:10 /build/assets/mastodon-CdcPKdKc.js ........... ~ 1.41ms
  2026-08-13 09:46:10 /build/assets/welcome-DWPlpLcW.js ............ ~ 1.53ms
  2026-08-13 09:46:10 /build/assets/workspaces-DtMydsUB.js ......... ~ 1.65ms
  2026-08-13 09:46:10 /build/assets/routes-CpuLwph5.js ............. ~ 1.76ms
  2026-08-13 09:46:10 /build/assets/AppLayout-DdDFLSH-.css ......... ~ 1.89ms
  2026-08-13 09:46:10 /build/assets/ImagePreviewDialog-CGqWeuZi.js . ~ 2.00ms
  2026-08-13 09:46:10 /build/assets/dialog-OyJtxarH.js ............. ~ 2.06ms
  2026-08-13 09:46:10 /build/assets/mediaType-B-hyaVWm.js .......... ~ 2.19ms
  2026-08-13 09:46:10 /build/assets/LabelBadge-1y8SCKmW.js ......... ~ 2.31ms
  2026-08-13 09:46:10 /build/assets/card-DCVVMaiD.js ............... ~ 2.42ms
  2026-08-13 09:46:10 /build/assets/usePostEcho-CpbpiRzD.js ........ ~ 2.56ms
  2026-08-13 09:46:10 /build/assets/usePlatformLogo-ATeAMjjN.js .... ~ 2.67ms
  2026-08-13 09:46:10 /build/assets/usePostStatus-CFFFFHlm.js ...... ~ 2.75ms
  2026-08-13 09:46:10 /build/assets/date-BYsCFjU8.js ............... ~ 2.91ms
  2026-08-13 09:46:10 /build/assets/post-CoVPaGrt.js ............... ~ 3.07ms
  2026-08-13 09:46:10 /favicon.svg ................................. ~ 0.03ms
  2026-08-13 09:46:10 /notifications ............................... ~ 0.05ms
  2026-08-13 09:46:10 /presence/heartbeat .......................... ~ 0.04ms
  2026-08-13 09:46:10 /storage/social-accounts/01d3d468-3176-4f39-9ebb-8aec23a000af.jpg  ~ 0.30ms
  2026-08-13 09:46:10 /build/assets/php_vi-BOZuxoyi.js ............. ~ 0.65ms
  2026-08-13 09:46:10 /images/accounts/tiktok.png .................. ~ 0.54ms
  2026-08-13 09:46:11 /posts/019ffa7e-3cad-711a-8e34-1a91c576f202 .. ~ 0.21ms
  2026-08-13 09:46:11 /favicon.ico ................................. ~ 0.55ms
  2026-08-13 09:46:11 /build/assets/app-D6m_3w8G.js ................ ~ 0.35ms
  2026-08-13 09:46:10 /storage/medias/661a5b1b-6e93-4ef3-b74c-d299fb1eb411.mp4  ~ 1.19ms
  2026-08-13 09:46:11 /build/assets/app-D6m_3w8G.js ................ ~ 0.03ms
  2026-08-13 09:46:11 /posts ..................................... ~ 500.42ms
  2026-08-13 09:46:12 /build/assets/Index-Fcd-nRo7.js .............. ~ 0.13ms
  2026-08-13 09:46:12 /build/assets/command-C1qhAQ0W.js ............ ~ 0.31ms
  2026-08-13 09:46:12 /build/assets/ListboxItem-phMBTlsL.js ........ ~ 0.47ms
  2026-08-13 09:46:12 /build/assets/ohash.D__AXeF1-Bg1VnB0V.js ..... ~ 0.07ms
  2026-08-13 09:46:12 /build/assets/VisuallyHiddenInput-B-X-2RFJ.js  ~ 0.19ms
  2026-08-13 09:46:12 /build/assets/useFormControl-BRg5RSpq.js ..... ~ 0.26ms
  2026-08-13 09:46:12 /build/assets/useKbd-D5ogEQRo.js ............. ~ 0.37ms
  2026-08-13 09:46:12 /build/assets/popover-BuF8nwRB.js ............ ~ 0.52ms
  2026-08-13 09:46:12 /build/assets/ConfirmDeleteModal-BxzxNQLh.js . ~ 0.54ms
  2026-08-13 09:46:12 /build/assets/EmptyState-tdqGiatA.js ......... ~ 0.56ms
  2026-08-13 09:46:12 /build/assets/PageHeader-m6brLnwq.js ......... ~ 0.59ms
  2026-08-13 09:46:12 /build/assets/table-3Qu3J6IZ.js .............. ~ 0.57ms
  2026-08-13 09:46:12 /build/assets/spinner-Dt_dHj3m.js ............ ~ 0.58ms
  2026-08-13 09:46:12 /build/assets/debounce-DVFE89n3.js ........... ~ 0.62ms
  2026-08-13 09:46:13 /notifications ............................... ~ 0.13ms
  2026-08-13 09:46:13 /presence/heartbeat .......................... ~ 0.04ms
  2026-08-13 09:46:13 /images/accounts/facebook.png ................ ~ 0.31ms
  2026-08-13 09:46:13 /posts ..................................... ~ 500.91ms
  2026-08-13 09:46:13 /images/accounts/youtube.png ............... ~ 501.28ms
  2026-08-13 09:46:13 /build/assets/app-D6m_3w8G.js .............. ~ 501.25ms
  2026-08-13 09:46:13 /build/assets/app-D6m_3w8G.js ................ ~ 0.04ms
  2026-08-13 09:46:13 /build/assets/app-D6m_3w8G.js ................ ~ 0.06ms
  2026-08-13 09:46:14 /posts/create ................................ ~ 0.14ms
  2026-08-13 09:46:14 /build/assets/Create-BSquMsNo.js ............. ~ 0.16ms
  2026-08-13 09:46:14 /build/assets/label-9qEKBa0s.js .............. ~ 0.46ms
  2026-08-13 09:46:14 /build/assets/switch-Bt4UTqer.js ............. ~ 0.80ms
  2026-08-13 09:46:14 /build/assets/PostTemplateController-w1N7zGJk.js  ~ 1.07ms
  2026-08-13 09:46:14 /build/assets/ContentStylePicker-t784TBpg.js . ~ 1.21ms
  2026-08-13 09:46:14 /build/assets/CollapsibleTrigger-DPwTAYUD.js . ~ 1.05ms
  2026-08-13 09:46:14 /build/assets/textarea-wv-JoI3T.js ........... ~ 0.82ms
  2026-08-13 09:46:14 /build/assets/content-type-DaWcjRm9.js ....... ~ 0.08ms
  2026-08-13 09:46:14 /notifications ............................. ~ 500.56ms
  2026-08-13 09:46:14 /presence/heartbeat ........................ ~ 500.91ms
  2026-08-13 09:46:14 /posts/create ................................ ~ 0.26ms
  2026-08-13 09:46:14 /build/assets/app-D6m_3w8G.js ................ ~ 0.29ms
  2026-08-13 09:46:15 /build/assets/app-D6m_3w8G.js ................ ~ 0.03ms
  2026-08-13 09:46:15 /posts ....................................... ~ 0.11ms
  2026-08-13 09:46:15 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 500.32ms
  2026-08-13 09:46:16 /build/assets/app--WTW5DNB.css ............... ~ 0.14ms
  2026-08-13 09:46:16 /build/assets/app-D6m_3w8G.js ................ ~ 0.35ms
  2026-08-13 09:46:16 /build/assets/useCalendarLocale-BPGkF3lx.js .. ~ 0.07ms
  2026-08-13 09:46:16 /build/assets/Edit-BpXviijz.js ............... ~ 0.18ms
  2026-08-13 09:46:16 /build/assets/PopperContent-BTNI29EK.js ...... ~ 0.32ms
  2026-08-13 09:46:16 /build/assets/core-DqAwJdv3.js ............... ~ 0.46ms
  2026-08-13 09:46:16 /build/assets/button-BTTi7SDU.js ............. ~ 0.61ms
  2026-08-13 09:46:16 /build/assets/tabler-icons-vue-IynuKI1e.js ... ~ 0.06ms
